WeekStartDate,AvgOpen,AvgHigh,AvgLow,AvgClose,MaxHigh,MinLow,FirstDayOpen,LastDayClose,TotalVolume,WeekReturns
1982-01-04,4.8661206,4.9455286,4.7803602,4.818476,5.129755,4.637426,5.097992,4.637426,13471568,-9.03426290194257
1982-01-11,4.4976676,4.6183678,4.3706148,4.5135494,4.986821,4.288031,4.542136,4.923294,17729642,8.39160254118327
1982-01-18,4.8883548,4.9899972,4.7771836,4.8756498,5.1774,4.653307,4.955058,4.796242,29995413,-3.20512898133584
1982-01-25,4.9550576,5.0376418,4.869297,4.958234,5.097992,4.716834,4.843886,4.955058,20597742,2.29509943049857
1982-02-01,4.6945994,4.78036,4.5993098,4.6850706,4.891531,4.494491,4.812123,4.700952,16952012,-2.31022773108667
1982-02-08,4.5580176,4.681894,4.4246124,4.5643704,4.891531,4.303912,4.573899,4.685071,24209626,2.4305740026179
1982-02-16,4.4944915,4.6056625,4.37537925,4.4666985,4.732715,4.176859,4.621544,4.256267,13386565,-7.90378713261195
1982-02-22,4.1165094,4.249915,3.9799278,4.0974514,4.351557,3.827464,4.049807,4.08157,17777655,0.784308980650184
1982-03-01,3.8624038,3.9291064,3.782996,3.8211118,4.097451,3.652767,4.049807,3.700412,15848534,-8.62744817222155
1982-03-08,3.557477,3.6400614,3.4685404,3.5447718,3.763938,3.430425,3.636885,3.58924,14164980,-1.31004967162832
1982-03-15,3.6686484,3.735351,3.5955932,3.703588,3.811583,3.541596,3.68453,3.68453,7467765,0
1982-03-22,3.713117,3.7575854,3.6622958,3.7099404,3.77982,3.621004,3.732175,3.732175,9579484,0
1982-03-29,3.9100486,3.9703986,3.8401694,3.9545172,4.145096,3.668648,3.763938,4.145096,10570412,10.12657487982
1982-04-05,4.0974515,4.14509625,4.041866,4.0974515,4.176859,4.002162,4.113333,4.129215,9000986,0.386110241986248
1982-04-12,4.0243962,4.0783934,3.9608698,3.9989856,4.145096,3.906872,4.08157,4.033925,7655874,-1.16732041836842
1982-04-19,3.9608698,4.0148674,3.8973436,3.9576934,4.160978,3.811583,3.954517,4.129215,8858525,4.41768236171447
1982-04-26,4.033925,4.0720408,3.9894566,4.0180436,4.145096,3.954517,4.08157,4.002162,9165484,-1.94552586382201
1982-05-03,4.014867,4.062512,3.9576936,4.0243962,4.272149,3.859228,3.922754,4.224504,17285732,7.69229984852478
1982-05-10,4.1832118,4.2340334,4.1292148,4.1673302,4.288031,4.049807,4.192741,4.065688,9785698,-3.03030881230203
1982-05-17,3.9894566,4.0243964,3.9449884,3.964046,4.08157,3.906872,4.049807,3.906872,7448086,-3.52942745172796
1982-05-24,3.9767514,4.0180436,3.9291068,3.941812,4.145096,3.859228,3.98628,3.859228,11595971,-3.18723220646818
1982-06-01,3.9505465,3.98231,3.91084275,3.96245825,4.018044,3.859228,3.906872,3.938636,6938849,0.813028939775862
1982-06-07,4.0402778,4.0752174,3.9989856,4.0339252,4.129215,3.906872,3.970399,4.065688,7999827,2.39998549264191
1982-06-14,3.8306408,3.8846382,3.7702906,3.8020538,4.08157,3.605122,4.018044,3.716293,7387482,-7.50989785079507
1982-06-21,3.7671144,3.833817,3.694059,3.7798196,4.002162,3.573359,3.732175,3.938636,12469623,5.53192173464534
1982-06-28,3.913225,3.992633,3.8274644,3.8941672,4.129215,3.748056,4.033925,3.890991,11782507,-3.54329840044125
1982-07-06,3.8195235,3.851287,3.78379,3.81158275,3.875109,3.763938,3.827464,3.763938,5839307,-1.65974128038827
1982-07-12,3.6908828,3.7544088,3.62418,3.6654718,3.843346,3.557477,3.652767,3.668648,12558563,0.434766301819978
1982-07-19,3.5574774,3.595593,3.5034798,3.5352428,3.68453,3.462188,3.636885,3.509832,9114324,-3.4934566256563
1982-07-26,3.366898,3.4113666,3.3097244,3.3478404,3.525714,3.223964,3.509832,3.271609,8649163,-6.78730491943773
1982-08-02,3.1953768,3.2398454,3.1413794,3.1826716,3.303372,3.096911,3.239845,3.112793,7681848,-3.9215456294977
1982-08-09,3.1000874,3.1318506,3.0619716,3.0937348,3.160437,3.049266,3.096911,3.144556,6226548,1.5384684932825
1982-08-16,3.1000874,3.1794952,3.0143268,3.1000874,3.239845,2.98574,3.112793,3.192201,12902514,2.55102089987995
1982-08-23,3.4463064,3.5320666,3.3541928,3.4590114,3.748056,3.176319,3.271609,3.541596,20520610,8.25242258472818
1982-08-30,3.5670062,3.6114748,3.513009,3.5574772,3.77982,3.446306,3.525714,3.668648,12882049,4.05404408865837
1982-09-07,3.68452975,3.744086,3.61306275,3.652767,3.827464,3.525714,3.668648,3.621004,9642451,-1.29868005870283
1982-09-13,3.7194696,3.7766432,3.6559432,3.7162932,3.922754,3.525714,3.557477,3.77982,11862001,6.25001932549387
1982-09-20,3.725822,3.773467,3.6686482,3.7067642,3.906872,3.58924,3.748056,3.605122,8358732,-3.81355027779734
1982-09-27,3.6908828,3.74488,3.6337088,3.6972354,3.843346,3.58924,3.636885,3.700412,7511053,1.74674206085703
1982-10-04,3.7353512,3.7798196,3.6877062,3.751233,3.875109,3.605122,3.636885,3.859228,8962418,6.11355596891296
1982-10-11,4.1292148,4.1959172,4.049807,4.1546252,4.430965,3.77982,3.843346,4.430965,22011327,15.2892557682811
1982-10-18,4.4468468,4.5548414,4.32297,4.4690808,4.621544,4.192741,4.47861,4.351557,30440110,-2.83688465840964
1982-10-25,4.0974516,4.1578014,4.0275724,4.0783936,4.224504,3.906872,4.113333,3.970399,22922761,-3.47489493313573
1982-11-01,4.2213278,4.3070884,4.135567,4.2435622,4.415083,3.98628,4.097451,4.303912,18089335,5.03876678452042
1982-11-08,4.0212198,4.1069804,3.9259304,3.973575,4.288031,3.700412,4.208623,3.732175,20402548,-11.3207574068763
1982-11-15,4.0180436,4.0910988,3.941812,4.0148674,4.176859,3.77982,3.890991,4.018044,21256523,3.2653121017242
1982-11-22,3.91878375,3.95054675,3.87907975,3.89496125,4.002162,3.843346,3.970399,3.890991,7415030,-2.00000050372771
1982-11-29,4.0021618,4.0815698,3.9164014,4.0021618,4.303912,3.827464,3.875109,3.875109,9274887,0
1982-12-06,4.0656882,4.1578016,3.9640462,4.0879226,4.430965,3.748056,3.827464,4.319794,23646870,12.8630863673701
1982-12-13,4.1196856,4.2086226,4.0243964,4.0783936,4.335675,3.938636,4.256267,4.176859,12946591,-1.8656724307944
1982-12-20,4.061718,4.10936275,4.00613225,4.0696585,4.192741,3.954517,4.145096,4.065688,7481144,-1.91570955172088
1982-12-27,4.1196856,4.1609776,4.0688646,4.1228618,4.192741,4.018044,4.08157,4.145096,7582677,1.55641089090717
1983-01-03,4.3547332,4.4087308,4.2848542,4.3515568,4.542136,4.145096,4.192741,4.319794,18529309,3.03030881230202
1983-01-10,4.3769676,4.4500228,4.291207,4.3452044,4.510373,4.192741,4.430965,4.288031,15312537,-3.22579844345418
1983-01-17,4.4055544,4.481786,4.3197936,4.411907,4.732715,4.208623,4.288031,4.446847,15173224,3.70370456743432
1983-01-24,4.1641542,4.2276806,4.0942752,4.173683,4.303912,4.002162,4.160978,4.176859,10911215,0.381665079700011
1983-01-31,4.0085144,4.0752172,3.9354594,4.0275724,4.160978,3.811583,4.065688,4.113333,10241415,1.1718803803932
1983-02-07,4.043454,4.1069804,3.9703988,4.0371014,4.160978,3.859228,4.097451,4.065688,15732047,-0.775189257906939
1983-02-14,4.014867,4.0656884,3.9576936,3.992633,4.160978,3.890991,4.097451,3.938636,9318963,-3.87594628953465
1983-02-22,3.87510925,3.93466525,3.811583,3.87510925,4.097451,3.732175,3.795701,4.049807,17977571,6.69457367690449
1983-02-28,4.0974516,4.151449,4.0339252,4.1069806,4.288031,3.890991,3.970399,4.288031,22375743,8.00000201491084
1983-03-07,4.2562676,4.3007358,4.2086226,4.2689726,4.351557,4.176859,4.272149,4.256267,13186648,-0.371756696688241
1983-03-14,4.1165094,4.170507,4.0561594,4.0910986,4.319794,3.875109,4.272149,3.922754,13776167,-8.17843666033183
1983-03-21,3.9068726,3.973575,3.833817,3.9068722,4.002162,3.795701,3.922754,3.875109,19547785,-1.21458036879192
1983-03-28,4.04186575,4.13715525,3.93069475,3.990251,4.700952,3.827464,3.875109,4.208623,19547785,8.60657080871789
1983-04-04,4.2149752,4.2721492,4.1482726,4.2276806,4.367439,4.065688,4.240386,4.367439,19332126,2.9962602461191
1983-04-11,4.4468466,4.4881388,4.3960254,4.4468466,4.526255,4.367439,4.430965,4.415083,11513327,-0.358432079693694
1983-04-18,4.2880306,4.3324992,4.2372096,4.2689726,4.415083,4.192741,4.351557,4.272149,8361093,-1.82481810533562
1983-04-25,4.430965,4.5071968,4.3452044,4.4531992,4.637426,4.160978,4.272149,4.621544,15140954,8.17843666033184
1983-05-02,4.3483808,4.4023782,4.2880306,4.3388518,4.526255,4.113333,4.446847,4.240386,28414181,-4.64286268450432
1983-05-09,4.291207,4.3324992,4.2435622,4.291207,4.367439,4.192741,4.256267,4.335675,15346380,1.86567243079441
1983-05-16,4.3896728,4.4246122,4.3134412,4.3706152,4.494491,4.272149,4.38332,4.319794,7932925,-1.44926676583047
1983-05-23,4.4182598,4.4690808,4.3388518,4.4055544,4.510373,4.288031,4.288031,4.319794,12100485,0.740736249341478
1983-05-31,4.311853,4.3356755,4.2562675,4.30788275,4.367439,4.240386,4.319794,4.288031,8014780,-0.735289692054752
1983-06-06,4.1546252,4.1895644,4.0879226,4.1260384,4.272149,4.033925,4.272149,4.145096,11055250,-2.97398335123611
1983-06-13,4.234033,4.3070884,4.183212,4.2753254,4.415083,4.145096,4.176859,4.399202,12204378,5.32321057521932
1983-06-20,4.4754336,4.5294308,4.440494,4.4881386,4.573899,4.38332,4.430965,4.542136,12682132,2.50895685251409
1983-06-27,4.4468466,4.5135494,4.3896726,4.4373176,4.637426,4.303912,4.526255,4.510373,6701941,-0.350886107830861
1983-07-05,4.530225,4.6056625,4.50243225,4.561988,4.669189,4.399202,4.446847,4.573899,9652683,2.85712550937776
1983-07-11,4.510373,4.5421362,4.430965,4.4881388,4.605663,4.367439,4.573899,4.462728,9060803,-2.4305521394329
1983-07-18,4.4976678,4.5389598,4.4531992,4.5071966,4.589781,4.415083,4.446847,4.47861,11991868,0.714281377344439
1983-07-25,4.5135494,4.5643704,4.450023,4.4976678,4.637426,4.319794,4.47861,4.335675,21602050,-3.19150361384446
1983-08-01,4.3674384,4.4246124,4.3388516,4.38332,4.47861,4.256267,4.272149,4.430965,9626710,3.7174733371893
1983-08-08,4.4531992,4.4881388,4.4119072,4.4595518,4.589781,4.319794,4.415083,4.558018,12992240,3.2374249815915
1983-08-15,4.6278968,4.7041284,4.5834284,4.6660124,4.859768,4.47861,4.589781,4.843886,23350929,5.53632079613384
1983-08-22,4.7962416,4.8216522,4.7200102,4.7613022,4.939176,4.605663,4.891531,4.669189,13599075,-4.54544804070545
1983-08-29,4.7168336,4.7613022,4.6850704,4.7358916,4.796242,4.621544,4.669189,4.700952,6998667,0.680268029415809
1983-09-06,4.6652185,4.68904075,4.61757375,4.64139625,4.748597,4.573899,4.700952,4.605663,8176131,-2.02701495356685
1983-09-12,4.497668,4.542136,4.4341414,4.4817862,4.653307,4.38332,4.637426,4.510373,7655875,-2.73973104907764
1983-09-19,4.6151916,4.6501308,4.5516652,4.6056626,4.700952,4.462728,4.526255,4.526255,8003762,0
1983-09-26,4.4595518,4.481786,4.3833204,4.4214358,4.573899,4.288031,4.573899,4.335675,9060016,-5.20833538300692
1983-10-03,4.2499146,4.2943832,4.1832118,4.2340334,4.351557,4.113333,4.335675,4.240386,14083126,-2.19778927156672
1983-10-10,4.3706148,4.4436702,4.3007362,4.3801438,4.510373,4.240386,4.256267,4.288031,15323554,0.746287768131082
1983-10-17,4.2785016,4.3293226,4.230857,4.2785016,4.367439,4.208623,4.272149,4.288031,10420867,0.371756696688252
1983-10-24,4.3420282,4.3960254,4.3102648,4.3483806,4.462728,4.256267,4.288031,4.303912,7227706,0.370356464307275
1983-10-31,4.343616,4.3928494,4.3166174,4.3610858,4.446847,4.256267,4.256267,4.351557,11919457,2.23881631485994
1983-11-07,4.3039122,4.3293228,4.2594438,4.2975596,4.351557,4.224504,4.335675,4.288031,7635411,-1.09888310355366
1983-11-14,4.2245044,4.2372094,4.1482728,4.1736832,4.303912,3.970399,4.288031,4.002162,10261092,-6.66667288552718
1983-11-21,4.1173035,4.192741,4.08554025,4.172889,4.272149,3.970399,4.002162,4.240386,10851398,5.95238273713057
1983-11-28,4.2467384,4.2975596,4.211799,4.2499148,4.319794,4.192741,4.224504,4.208623,6261965,-0.375925789157716
1983-12-05,4.1609778,4.2181516,4.1292146,4.1863882,4.288031,4.08157,4.192741,4.145096,5985702,-1.1363687859565
1983-12-12,4.1546252,4.1832122,4.1196858,4.1482724,4.208623,4.08157,4.145096,4.145096,9128491,0
1983-12-19,4.2022698,4.253091,4.1705068,4.2117988,4.272149,4.129215,4.160978,4.208623,7753471,1.14504330472307
1983-12-27,4.33567525,4.3872905,4.2959715,4.3674385,4.462728,4.208623,4.224504,4.38332,7112794,3.75939992008532
1984-01-03,4.363468,4.40714275,4.323764,4.3674385,4.446847,4.256267,4.335675,4.446847,6887690,2.5641220801836
1984-01-09,4.6850704,4.739068,4.6406022,4.7041284,4.796242,4.462728,4.47861,4.764478,24723586,6.38296257097628
1984-01-16,4.7327154,4.7740074,4.7009522,4.7263626,4.843886,4.669189,4.78036,4.78036,14031178,0
1984-01-23,4.8788258,4.9423524,4.8343574,4.8851784,5.034466,4.732715,4.828005,4.970939,22153002,2.96051888927207
1984-01-30,4.9423522,4.958234,4.8661206,4.897884,5.034466,4.732715,4.970939,4.796242,28953326,-3.51436619922313
1984-02-06,4.7454206,4.8184758,4.6564838,4.7231862,5.034466,4.589781,5.034466,4.843886,18106651,-3.78550575175202
1984-02-13,5.0630524,5.1996342,5.0217602,5.1615182,5.383861,4.812123,4.843886,5.383861,37858288,11.1475579730819
1984-02-21,5.304453,5.387831,5.264749,5.3401865,5.431505,5.193282,5.352098,5.415624,22693722,1.18693641259933
1984-02-27,5.4918554,5.6030266,5.428329,5.488679,5.749137,5.304453,5.383861,5.463269,30195330,1.47492663722188
1984-03-05,5.0979918,5.1551658,4.9582342,4.9931734,5.367979,4.87565,5.209163,4.923294,22406440,-5.48781061372048
1984-03-12,4.8629444,4.8915314,4.7485966,4.8216522,4.955058,4.653307,4.939176,4.859768,17883908,-1.60771756260558
1984-03-19,4.9232944,4.9963498,4.878826,4.9074128,5.129755,4.828005,4.87565,4.907413,14282256,0.651461856367863
1984-03-26,5.107521,5.1805764,5.088463,5.1488128,5.304453,4.923294,4.939176,5.240926,9973809,6.1093186393844
1984-04-02,5.1901052,5.2186924,5.107521,5.1297552,5.304453,4.970939,5.27269,4.970939,11096178,-5.72290424811622
1984-04-09,5.0852866,5.1837528,5.0439944,5.1361078,5.288571,4.970939,5.002702,5.27269,12985944,5.39684354574788
1984-04-16,5.33224525,5.3838605,5.2806305,5.33621575,5.447387,5.225045,5.240926,5.288571,8896304,0.909095072130395
1984-04-23,5.3457448,5.4124476,5.3012764,5.3806846,5.463269,5.209163,5.304453,5.415624,14231884,2.09580516596151
1984-04-30,5.256808,5.2981002,5.2028106,5.2345738,5.399742,5.113874,5.304453,5.145637,15551021,-2.99401276625506
1984-05-07,5.3298632,5.4124476,5.2726896,5.3489212,5.542677,5.161518,5.1774,5.27269,17134613,1.84049909220845
1984-05-14,5.275866,5.3298634,5.205987,5.2695134,5.367979,5.145637,5.256808,5.288571,20141239,0.604225986568263
1984-05-21,5.1710474,5.209163,5.097992,5.1392842,5.320334,4.939176,5.320334,5.066229,12454669,-4.7761099209185
1984-05-29,4.94711675,4.98285,4.87962025,4.95505725,5.002702,4.796242,5.002702,5.002702,8434291,0
1984-06-04,4.9804682,5.0154078,4.9074128,4.9645866,5.066229,4.87565,5.050347,4.923294,8562585,-2.51572812719602
1984-06-11,4.770831,4.7962416,4.6469548,4.6850704,4.939176,4.367439,4.923294,4.430965,12882049,-9.99999187535826
1984-06-18,4.450023,4.4944914,4.3896728,4.472257,4.526255,4.351557,4.446847,4.510373,16850480,1.4285627546889
1984-06-25,4.5167256,4.5484888,4.4786098,4.5135494,4.573899,4.462728,4.542136,4.510373,10956865,-0.699296542419681
1984-07-02,4.6056625,4.6652185,4.5858105,4.649337,4.732715,4.494491,4.526255,4.653307,5541005,2.80700048936704
1984-07-09,4.5580178,4.6183676,4.5135496,4.5866044,4.748597,4.430965,4.637426,4.732715,8817597,2.05478211404344
1984-07-16,4.7168336,4.7549494,4.6660126,4.7136574,4.812123,4.589781,4.700952,4.621544,12692365,-1.68918976411586
1984-07-23,4.5548414,4.5961338,4.5071968,4.5453122,4.669189,4.430965,4.605663,4.430965,13742322,-3.79311295680992
1984-07-30,4.3547332,4.4055544,4.3102648,4.3769676,4.494491,4.240386,4.38332,4.47861,26204862,2.17392296250329
1984-08-06,4.59931,4.7263626,4.5421362,4.6533072,4.970939,4.367439,4.462728,4.796242,21888545,7.47332125103748
1984-08-13,4.7771836,4.8343572,4.7231862,4.7708312,4.891531,4.621544,4.764478,4.716834,14513656,-0.999983628846646
1984-08-20,4.7962416,4.821652,4.729539,4.7581258,4.891531,4.669189,4.732715,4.700952,10002931,-0.671136968949104
1984-08-27,4.9042364,5.0122314,4.8629446,4.9709394,5.209163,4.685071,4.732715,5.018584,17405367,6.04027497958359
1984-09-04,4.96696875,4.99476175,4.94314675,4.97888,5.034466,4.907413,4.986821,4.986821,4878288,0
1984-09-10,5.0948158,5.2155158,5.0408186,5.1488132,5.510913,4.955058,4.970939,5.304453,25450844,6.70927565194421
1984-09-17,5.2282208,5.2790422,5.078934,5.1297552,5.367979,4.828005,5.320334,4.859768,21210873,-8.65671215378584
1984-09-24,4.9423524,5.009055,4.920118,4.9741156,5.145637,4.828005,4.859768,5.113874,19288051,5.22876812226427
1984-10-01,5.1583424,5.2218684,5.1202262,5.1774004,5.304453,5.066229,5.113874,5.193282,10747505,1.55279539542821
1984-10-08,5.1932816,5.2282212,5.1774,5.2028106,5.288571,5.145637,5.193282,5.256808,6555544,1.22323417060735
1984-10-15,4.9836444,5.037642,4.859768,4.9518812,5.304453,4.621544,5.240926,4.859768,16472685,-7.27272241584789
1984-10-22,4.951881,5.059876,4.9296468,5.0344654,5.161518,4.764478,4.764478,5.161518,23731088,8.33333683144302
1984-10-29,5.11705,5.2123394,5.1011684,5.2028104,5.336216,4.955058,4.986821,5.336216,19807518,7.0063673831485
1984-11-05,5.4442108,5.5458528,5.4060948,5.5045608,5.637966,5.240926,5.320334,5.558558,21224254,4.47761362350558
1984-11-12,5.488679,5.5458528,5.434682,5.5109136,5.653848,5.352098,5.510913,5.57444,19928729,1.15274909983154
1984-11-19,5.45135725,5.47915,5.3798905,5.42753525,5.526795,5.304453,5.495032,5.383861,17063778,-2.02311833670852
1984-11-26,5.3743318,5.4918556,5.326687,5.4442108,5.606203,5.113874,5.336216,5.558558,29826192,4.16666042004294
1984-12-03,6.390754,6.581333,6.193822,6.412988,7.146718,5.510913,5.558558,6.797323,113810199,22.2857259022934
1984-12-10,6.6258016,6.7560306,6.5400408,6.6766226,6.940257,6.336756,6.702033,6.860849,60770029,2.36966902430948
1984-12-17,6.771912,6.9180224,6.6956802,6.8259096,7.003783,6.543217,6.844967,6.97202,82855343,1.85615211877574
1984-12-24,5.745167,5.90398275,5.67369975,5.796782,6.098532,5.590321,5.717374,5.828545,80501990,1.94444162652294
1984-12-31,5.58238075,5.64590675,5.518854,5.57841025,5.749137,5.431505,5.749137,5.653848,28650303,-1.65744876144019
1985-01-07,5.6379664,5.6824348,5.5871448,5.6443188,5.733256,5.57444,5.653848,5.622085,19957850,-0.561794374380065
1985-01-14,5.5553818,5.587145,5.5045608,5.5458528,5.637966,5.463269,5.590321,5.495032,23262777,-1.70453539251145
1985-01-21,5.8507796,6.0191244,5.774548,5.9587744,6.241467,5.463269,5.47915,6.193822,88978783,13.0434830220016
1985-01-28,6.0159482,6.0699456,5.9524218,6.0318296,6.146177,5.892072,6.035006,6.066769,55798866,0.526312649896288
1985-02-04,6.2827588,6.3653434,6.2255852,6.282759,6.479691,5.97148,6.035006,6.36852,143859921,5.52632424889057
1985-02-11,6.3018168,6.3653432,6.2351142,6.27323,6.543217,6.114414,6.352638,6.114414,78030576,-3.75000118061189
1985-02-19,6.062799,6.1580885,5.9873615,6.102503,6.209704,5.955598,6.082651,6.193822,59101432,1.82767349302138
1985-02-25,6.1684112,6.2700538,6.1175904,6.2033508,6.352638,6.050888,6.193822,6.27323,56386025,1.28205169602873
1985-03-04,6.3208748,6.384401,6.2573482,6.314522,6.543217,6.225585,6.352638,6.27323,197768235,-1.2500003935373
1985-03-11,6.1811168,6.2414668,6.095356,6.193822,6.289112,5.907953,6.257348,6.241467,189244216,-0.253797615219742
1985-03-18,5.1043446,5.4315054,4.9074128,5.1551658,5.812664,4.669189,4.669189,4.970939,24326115,6.46257840494355
1985-03-25,4.891531,4.9169418,4.8470628,4.878826,4.955058,4.78036,4.939176,4.828005,10387023,-2.2508005383894
1985-04-01,4.80815275,4.82800475,4.77241925,4.80418225,4.843886,4.716834,4.812123,4.78036,20070403,-0.660062097332093
1985-04-08,4.8851784,4.9328234,4.8565916,4.9042366,4.986821,4.764478,4.812123,4.986821,37395489,3.63037270659956
1985-04-15,5.0757578,5.1202262,5.0598762,5.0979922,5.1774,5.002702,5.002702,5.113874,42293454,2.22223910198929
1985-04-22,5.120226,5.1424606,5.0789342,5.1138734,5.145637,5.034466,5.129755,5.08211,19125914,-0.92879679438882
1985-04-29,4.9455288,4.977292,4.9010602,4.9328234,4.986821,4.859768,4.939176,4.859768,26991936,-1.60771756260558
1985-05-06,4.9645866,5.009055,4.9423524,4.9804684,5.018584,4.87565,4.87565,4.986821,13536896,2.28012675233045
1985-05-13,4.926471,4.9296474,4.8883548,4.9042366,4.986821,4.828005,4.970939,4.843886,13934369,-2.55591549202273
1985-05-20,4.8565916,4.8915312,4.8375338,4.8851784,4.970939,4.812123,4.859768,4.970939,26791232,2.28757833707289
1985-05-28,4.907413,4.939176,4.87167925,4.911383,4.986821,4.828005,4.955058,4.939176,17715475,-0.320520970692983
1985-06-03,4.888355,4.907413,4.850239,4.8756498,4.955058,4.78036,4.939176,4.955058,22507973,0.321551611037973
1985-06-10,4.8978838,4.9264708,4.8629444,4.910589,4.970939,4.764478,4.939176,4.859768,20156981,-1.60771756260558
1985-06-17,4.7740076,4.7962414,4.7358914,4.7613018,4.87565,4.732715,4.87565,4.764478,9590503,-2.28014726241629
1985-06-24,4.8089466,4.84071,4.7994178,4.8280046,4.859768,4.748597,4.764478,4.843886,10751439,1.6666673662886
1985-07-01,4.788301,4.84388675,4.76844875,4.8160935,4.955058,4.430965,4.828005,4.47861,7559326,-7.23684006126755
1985-07-08,4.5167258,4.5453126,4.4214362,4.5167258,4.573899,4.288031,4.47861,4.47861,11998428,0
1985-07-15,4.430965,4.5071968,4.3642622,4.4500228,4.573899,4.192741,4.47861,4.573899,42874314,2.12764674753998
1985-07-22,4.7740074,4.9359996,4.7168336,4.8502392,5.288571,4.573899,4.573899,5.002702,38052434,9.37499931677548
1985-07-29,4.7740074,4.8216522,4.6787178,4.7644784,4.955058,4.573899,4.859768,4.764478,15088219,-1.96079319012759
1985-08-05,4.7263626,4.7644782,4.640602,4.6977754,4.812123,4.573899,4.764478,4.621544,9929472,-2.99999286385624
1985-08-12,4.5548414,4.669189,4.5071966,4.5453124,4.907413,4.430965,4.621544,4.573899,11901618,-1.03093251952162
1985-08-19,4.6787176,4.7358914,4.6215442,4.6787176,4.812123,4.526255,4.573899,4.621544,7123025,1.04167144923839
1985-08-26,4.678718,4.7263628,4.621544,4.669189,4.764478,4.573899,4.669189,4.716834,8025275,1.0204127526215
1985-09-03,4.6930115,4.728745,4.60963275,4.6453665,4.764478,4.573899,4.716834,4.669189,6975579,-1.01010550721098
1985-09-09,4.5262548,4.5929572,4.450023,4.4976678,4.669189,4.38332,4.669189,4.430965,12458865,-5.10204234611195
1985-09-16,4.38332,4.459552,4.3452042,4.402378,4.526255,4.288031,4.38332,4.430965,6536917,1.08696148125165
1985-09-23,4.4547875,4.55007725,4.39523125,4.47860975,4.621544,4.38332,4.47861,4.621544,6614313,3.19148128548814
1985-09-30,4.6882466,4.7644784,4.650131,4.7168336,4.859768,4.526255,4.621544,4.812123,13803189,4.12370844029613
1985-10-07,4.7549492,4.802594,4.716834,4.7454204,4.907413,4.716834,4.764478,4.716834,5502700,-0.999983628846646
1985-10-14,4.7740072,4.831181,4.7263626,4.7835362,4.859768,4.669189,4.716834,4.764478,6878244,1.0100843065497
1985-10-21,4.8597678,4.9359996,4.821652,4.8978838,5.050347,4.764478,4.764478,4.955058,13069375,4.00001847001916
1985-10-28,4.9455286,4.9741154,4.869297,4.9169418,5.002702,4.812123,4.955058,4.859768,8404645,-1.92308546136091
1985-11-04,4.9455288,5.0027022,4.907413,4.9741154,5.050347,4.859768,4.859768,5.002702,17243754,2.94116920807743
1985-11-11,5.0122312,5.059876,4.945529,5.0122312,5.145637,4.907413,5.002702,5.002702,16140539,0
1985-11-18,5.0027022,5.031289,4.945529,5.0027022,5.050347,4.907413,4.955058,5.002702,8811038,0.961522549281968
1985-11-25,5.002702,5.0265245,4.94314675,5.00270225,5.050347,4.907413,5.002702,5.002702,3936422,0
1985-12-02,4.9359998,4.9455288,4.821652,4.859768,5.050347,4.764478,5.050347,4.859768,10477274,-3.77358229048421
1985-12-09,4.4881386,4.5834282,4.3261464,4.4690808,4.764478,4.192741,4.764478,4.573899,23331514,-3.99999748136103
1985-12-16,4.5738994,4.631073,4.497668,4.5738992,4.716834,4.430965,4.526255,4.573899,18034503,1.05261413685265
1985-12-23,4.538166,4.538166,4.46669875,4.51434375,4.573899,4.430965,4.573899,4.47861,3496186,-2.08332103529177
1985-12-30,4.5738995,4.621544,4.538166,4.59772175,4.621544,4.526255,4.526255,4.621544,9424432,2.10525036702529
1986-01-06,4.6787176,4.7549492,4.602486,4.6882466,4.812123,4.573899,4.621544,4.764478,9712763,3.09277592077453
1986-01-13,4.6977758,4.7358916,4.5929574,4.6501308,4.859768,4.47861,4.812123,4.573899,10471240,-4.95049690126375
1986-01-20,4.3642626,4.421436,4.2880308,4.3547334,4.573899,4.145096,4.526255,4.288031,39224387,-5.26315905754315
1986-01-27,4.0116908,4.1546252,3.9354592,4.0498066,4.288031,3.859228,4.002162,4.145096,19609439,3.57141964768042
1986-02-03,3.8878146,3.9449884,3.763938,3.8592278,4.145096,3.525714,4.049807,3.811583,18697220,-5.88235439367851
1986-02-10,3.6972354,3.7353512,3.5638298,3.6686484,3.859228,3.525714,3.763938,3.621004,25343803,-3.79745893795275
1986-02-18,3.704382,3.7996715,3.65673725,3.763938,3.954517,3.573359,3.621004,3.859228,13572052,6.57894882192893
1986-02-24,4.0688644,4.154625,3.9545172,4.0212196,4.240386,3.763938,3.906872,4.097451,15802621,4.87804565903363
1986-03-03,3.9068724,3.9449882,3.754409,3.8306408,4.097451,3.28749,4.049807,3.621004,13991825,-10.5882329701144
1986-03-10,3.8211118,3.944988,3.773467,3.8496988,4.097451,3.621004,3.621004,3.859228,19488228,6.57894882192893
1986-03-17,3.9354592,4.0021618,3.8401696,3.9068722,4.097451,3.763938,3.811583,3.811583,16386893,0
1986-03-24,3.79967175,3.8473165,3.6805595,3.811583,3.906872,3.525714,3.811583,3.859228,9545903,1.25000557511143
1986-03-31,3.802054,3.8592278,3.6877062,3.8115828,3.954517,3.573359,3.859228,3.906872,18055492,1.23454742762024
1986-04-07,3.973575,4.0498068,3.9259302,4.02122,4.145096,3.811583,3.906872,4.049807,8196069,3.65855344121846
